Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Rafael Addison,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
Rick Adelman,462,7.7,2.4,3.5,41.5,null,71.3,null,11.3,10.0
Rawle Alkins,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
Randy Allen,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
Ray Allen,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1
Rafer Alston,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Richard Anderson,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6
Ron Anderson,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2
Ryan Anderson,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7
Rafael Araújo,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4
Robert Archibald,44,1.2,1.6,0.4,28.3,-,42.9,28.3,4.9,0.0
Ryan Arcidiacono,207,4.8,2.0,2.2,43.1,37.3,80.7,53.7,10.3,6.2
Ron Baker,96,3.1,1.4,1.8,35.8,26.5,70.7,41.7,7.4,0.2
Renaldo Balkman,221,4.0,3.5,0.6,51.0,17.2,54.2,51.8,14.3,7.2
RJ Barrett,128,16.1,5.4,2.8,42.5,37.0,68.3,47.7,12.3,3.6
Rick Barry,1020,24.8,6.7,4.9,45.6,29.7,89.3,46.0,21.0,128.9
Ralph Beard,126,15.9,3.8,4.4,36.6,null,77.0,null,-,11.2
Rodrigue Beaubois,182,7.1,1.9,2.1,43.9,32.5,81.0,49.6,14.5,4.8
Ron Behagen,388,10.3,7.0,1.6,42.5,-,75.4,42.5,14.2,13.0
Raja Bell,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7
Ricky Berry,64,11.0,3.1,1.3,45.0,40.6,78.9,50.7,13.1,2.4
Rolando Blackman,980,18.0,3.3,3.0,49.3,34.3,84.0,50.1,16.7,75.6
Ricky Blanton,2,3.0,1.5,0.5,42.9,-,-,42.9,19.3,0.0
Ray Blume,49,4.6,0.8,1.4,45.9,22.2,64.3,46.8,9.7,-0.1
Ron Bonham,118,6.1,1.4,0.4,38.8,0.0,82.4,38.8,16.7,2.7
Ron Boone,1041,16.8,4.2,3.7,46.1,30.4,83.7,46.6,15.4,59.3
Ruben Boumtje-Boumtje,44,1.0,1.3,0.1,36.8,-,55.6,36.8,6.4,0.2
Ryan Bowen,507,2.6,2.1,0.5,45.6,20.6,69.3,46.2,10.5,12.4
Randy Breuer,681,6.8,4.4,0.9,46.7,0.0,62.8,46.7,13.2,20.9
Ron Brewer,501,11.9,1.9,1.8,45.9,24.8,82.4,46.2,13.0,17.3
Ronnie Brewer,502,7.8,2.8,1.6,49.0,25.4,67.5,50.5,14.4,30.4
Ryan Broekhoff,59,4.0,1.8,0.6,42.7,40.3,81.5,58.4,11.4,1.2
Randy Brown,655,4.8,1.8,2.2,41.7,20.0,69.1,42.1,10.3,11.0
Raymond Brown,16,1.0,0.9,0.3,28.6,-,0.0,28.6,-0.9,-0.2
Rickey Brown,340,4.4,3.5,0.4,46.4,0.0,66.7,46.4,9.8,4.7
Roger Brown,605,17.4,6.2,3.8,46.9,32.1,79.1,48.8,17.2,65.2
Roger Brown,239,2.4,3.5,0.5,40.6,100.0,62.4,40.8,8.7,2.3
Rick Brunson,337,3.2,1.3,2.6,37.8,36.2,69.3,42.6,10.7,3.6
Rodney Buford,230,6.4,2.6,0.8,41.2,30.0,75.8,43.6,10.0,2.9
Reggie Bullock,366,7.6,2.3,1.2,43.3,39.2,84.4,55.3,11.0,14.9
Roger Burkman,6,0.8,1.0,0.8,0.0,0.0,83.3,0.0,15.5,0.1
Rasual Butler,809,7.5,2.4,0.8,40.3,36.2,74.7,48.3,10.6,20.8
Rick Calloway,64,3.2,1.2,1.0,39.1,0.0,69.6,39.1,6.6,-0.3
Rick Carlisle,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7.0,0.5
Rodney Carney,299,5.9,2.0,0.4,42.2,33.8,70.4,48.5,11.9,6.2
Reggie Carter,135,3.5,1.2,1.5,38.8,0.0,77.2,38.8,9.1,0.4
Ron Carter,59,3.0,1.1,0.6,42.9,-,62.3,42.9,8.0,-0.2
Ron Cavenall,58,1.4,2.9,0.3,33.7,-,54.5,33.7,4.2,-0.2
Rex Chapman,666,14.6,2.5,2.7,43.0,35.0,80.0,47.7,13.9,24.7
Randolph Childress,51,2.4,0.5,1.0,32.8,27.3,80.0,40.3,5.9,-0.2
Rakeem Christmas,30,2.1,1.9,0.1,46.7,-,72.4,46.7,11.0,0.5
Robert Churchwell,4,1.5,0.8,0.3,37.5,-,-,37.5,1.2,-0.1
Richard Clark,58,6.2,2.4,1.7,29.6,5.6,67.5,29.7,4.3,-0.1
Richard Coffey,52,1.3,1.5,0.1,37.3,0.0,54.5,37.3,7.9,0.2
